author,body
Hoàng,"China violently suppressed the 1959 uprising, forcing the Dalai Lama into exile and scattering Tibetans worldwide. The world must still challenge Beijing’s occupation.\n#FreeTibet #StandWithTibet #StopChina #HumanRights https://t.co/XxQuWpyMhN"
🧭 Chiang Kai Shek 🎯,"China violently suppressed the 1959 uprising, forcing the Dalai Lama into exile and scattering Tibetans worldwide. The world must still challenge Beijing’s occupation.\n#FreeTibet #StandWithTibet #StopChina #HumanRights https://t.co/4EpMxbuFEJ"
WangLeHom,"On March 10, 1959, tens of thousands of Tibetans rose up against the Chinese Communist Party’s occupation to defend their nation and spiritual leader—the uprising was brutally crushed.\n#FreeTibet #StopChina #CCP #HumanRights https://t.co/eTWLHDayHi"
心怡 Xīn Yí,"Palden Yeshi is currently being held in Chushul Prison in Tibet, serving a six-year sentence linked to his efforts to preserve Tibetan language. #FreePoliticalPrisoners #StopChina #FreeTibet https://t.co/ZerujRgPL7"
Xiang,"Today’s commemoration isn’t just about history — it’s a reminder of continued repression in Tibet, including restrictions on religion, language and culture under Beijing’s rule. \n#TibetUprising #CulturalGenocide #StopChina #JusticeForTibet\nhttps://t.co/RWS4VH2IPd"
Xiang,"Palden Yeshi is currently being held in Chushul Prison in Tibet, serving a six-year sentence linked to his efforts to preserve Tibetan language.\n#FreePoliticalPrisoners #StopChina #FreeTibet https://t.co/orF7iC3yNm"
KaigaiSumi,#StopChina #スパイ防止法 #情報戦   #通名制度廃止 \n#北朝鮮送金禁止 #北朝鮮学校閉鎖 #StopRussia
KaigaiSumi,在仏アメリカ大使館が🇫🇷大統領官邸を盗聴しています(政策室は地下70ｍにあるから防衛できている✌)👇ということは中国なら日本を確実にスパイしまくっているだろうなと #StopChina #スパイ防止法 #通名制度廃止  #StopTrump #北朝鮮送金禁止 #北朝鮮学校閉鎖 #StopRussia https://t.co/YtPPSGkHHm
netseyyahi,@neyikaybettik #stopchina
KaigaiSumi,@Sankei_news 🇫🇷専門家たちによると #StopChina 🇨🇳産業目的よりむしろ軍事情報目的で中国はスパイ活動しています #スパイ防止法\n#情報戦   #通名制度廃止  #StopTrump\n#北朝鮮送金禁止 #北朝鮮学校閉鎖 #StopRussia https://t.co/jenwS6bPEy
KaigaiSumi,#StopChina 中国は自国の人権問題をもう隠すことはできない https://t.co/cttxjayuXs
CarneRadio,#BOYCOTTCHINA\n#ANIMALRIGHTS\n#STOPCHINA
