author,body,datalegacylang
rhenning45,"""How many military personnel were fired because they refused the #ChinaVirus Covid \""Vaccine\"" injection ???\n\nWhich the serum was proven to be totally ineffective and dangerous to some people!!\n\nDid they get any hugs??""",en
AchoWendyR,"COVID-19 vaccination has decimated the US population by increasing deaths and decreasing births #ChinaVirus COVID-19 vaccination was linked to almost 70,000 fewer US live births in 2023 @RapidResponse47 @StephenM @elonmusk \n\nhttps://t.co/OzfXmc1pbw",en
CcpReporter,"As #COVID19 Continues to Spread in China, Doctors Anticipate Major Peak in July #CCP #ChinaVirus https://t.co/ZFBp5uq4A5",en
IronIndianRider,#FangFang is about to go #Bangbang #ChinaVirus #MCGA,en
KshitijPersonal,Any photograph? Proof? At least screenshot from video game.\n\n#Pakistan #PakistanIsATerrorState #ChinaVirus,en
Conboytoy,"I totally agree 💯. Ever since the #chinavirus . I  don't trust 'medical professionals '. My dad was right, it's all about $$$$$, big pharma and even little things like optometrists and audiologists, there bosses force the so called professionals to lie and say you need glasses",en
SRather49475,"257 Covid patients, 2 dead.\n\nCovid spreading in India, AGAIN\n#COVID19 \n#india\n#chinavirus",en
rhenning45,It didn't prevent the spread of or keep anyone contracting the #Chinavirus!!\n\nThat's a fact.  \n\n#Purebloods are not anti-vac... we were anti-covid serum!!! Also anti-goverment medical mandates!!\n\nMedical #FREEDOM,en
jiffyman9,"F,D,A,E,B,C. B Fell way down due to #ChinaVirus!",en
jiffyman9,Bye @JimmyKimmelLive @jimmykimmel take that #covid #ChinaVirus shot and shove it up @Disney ass!,en
doug_maga,I will go with #Trump doesn't think 400% is enough after #CCP #Chinavirus killed millions...😉,en
Man_Bayer_X,This two fcukers need to go prison because of #chinavirus #Vaccine https://t.co/haKR9eOjha,en
Outhere,"How you Democrats lie,after \nLockdown  of our Parents,grandparents  from there families  during a #chinavirus ,you now cry for ILLEGALS  and there families ,no tears for American  tax payers. #NeverForget.",en
NZMAGAMike,About time. Another win for the racists and conspiracy theorists.  #ChinaVirus https://t.co/3ppvkBjUhB,en
AchoWendyR,"COVID-19 vaccination has decimated the US population by increasing deaths and decreasing births #ChinaVirus COVID-19 vaccination was linked to almost 70,000 fewer US live births in 2023\nhttps://t.co/OzfXmc1pbw",en
dilbag_koundal,"Govt must ban his YouTube channel in India  @dhruv_rathee \n\nThis cheap guy can’t talk about terrorism / #BangladeshViolence #Pakistan / #ChinaVirus or anything India 🇮🇳 do better he starts criticise, he is congress ecosystem/puppet. \n\nTake action @AmitShah @narendramodi @PMOIndia https://t.co/1TUwrtQnbA",en
SolomonYue,Racist yourself⁉️I called #COVIDー19 #ChinaVirus‼️ #China isn't a race‼️I passed my RNC resolution to hold China and #XiJinping accountable because Xi allowed ChinaVirus infected Chinese to travel to America infecting and killing us. Xi and I belong to the same Han racial group‼️,en
jiffyman9,Biggest @mlb bullshit rule of all time! #DEI #WOKE #ChinaVirus #Bullshit,en
CryptoMowz,Conspiracy theorists are right again....🥱\n\n#ChinaVirus,en
IAmManofJustice,Economic Terrorists back in action.\nMore dangerous than Kasab\n\nNeed to remind that #HardeepSinghPuri is same fraud who sided with airlines &amp; made public beg of ticket refunds during #chinavirus #lockdown\n\nHow many frauds in your cabinet man @narendramodi\n#india #lpg #LPGPriceHike,en
Millenni_alex,I do not want my military friends fighting Trump’s war. Just as it was the #chinavirus this is #trumpswar. Congrats @realDonaldTrump. You will go down as the worst president in U.S. history for being a b*tch for Israel &amp; the U.S. warmongers. Your son must be ashamed. I’m sorry.,en
IAmManofJustice,"#chinaVirus was planned global culling.\n\nThe weakest lost lives first, rest have their life affected/spans shortened. We will realize with time\n\nNo one escaped, even ones like me who didnt get even fever. We are all infected. The vaccine was to further screw up our immune system.",en
PeterVadala,". @DrOz pushing vaxes.  But can America ever trust ANY vaccines again after the #ChinaVirus scandal?  It was a betrayal of trust.  And in places like #Taxachusetts, they're still forcing doctors to eat the transsexual propaganda and lots of other politics as a condition of",en
ManglaniKisore,Many things are possible to UK and US infected upon again! \n#chinavirus,en
jiffyman9,I knew the numbers were #bullshit too many people sitting at home after #ChinaVirus. They have never re-entered the work force!,en
NicolaiofArabia,#Trump tweets on #covid as the #Chinavirus a reminder that #coronavirus saw a rise in #Sinophobia and anti #China sentiment. #XiJinping and @realDonaldTrump still have tense relations and #TrumpTariffs to address. I discuss #USA #China relations during #covid in my book with https://t.co/6lp5ZxpzgF,en
Eco_Promos,Revenge of the #ChinaVirus.\n\n#trump #EpsteinFiles #China,en
rhenning45,I started decoupling my @chase  accounts during the #chinavirus period because of their support of the mRNA mandate and Biden.  Almost there with moving funds to a local credit union.,en
lipapelua,Can we finally call it #ChinaVirus or not yet?,en
LEXIT20201,@LarryJones Once no taste &amp; No Smell #ChinaVirus,en
jjtmanu,@DrRitaDed @rhumphrey2022 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡ERIC CANNOT SUE ANYONE…. IF HE HITS THE STAND HE WILL BE ARRESTED FOR TREASON #FANGFANG #CHINAVIRUS  WEIC WAS BANG BANG https://t.co/EBMdNxsg3h,en
jjtmanu,@Hilltop__Leader @BrianEJohnson12 @ericswalwell MAGGIE U DEPLORABLE DISGUSTING DISGRACE THAT U PROTECT ANIMALS THAT MURDER U DEM LIB TRANS SICK MENTAL YO-YOS  #FANGFANG #CHINAVIRUS #TRAITOR  and @SarahEMcBride NEEDS A PROSTATE EXAM AS CANER IS BAD IN MEN … https://t.co/MDc1IDq0P4,en
technophile__,@WhiteHouse Is he calling #ChinaVirus third world?,en
technophile__,@gauravcsawant #ChinaVirus FM was about to slap porki bootlicker @MIshaqDar50,en
drac1o,@zhu_jingyang Ustedes son peores... #ChinaVirus https://t.co/xU1nPjJQFE,en
